Product Id,Product Name,Active (Product),Product Family,N&ET Product,N&ET Family,Business Unit
01t0B000003ADLG,Basic Thermal fluid module Node Locked - Paid-Up,1,Flownex Node Locked,0,,
01t0B000003ADLH,Advanced fluid thermal module Node Locked - Paid-Up,1,Flownex Node Locked,0,,
01t0B000003ADLI,Design and analysis module Node Locked - Paid-Up,1,Flownex Node Locked,0,,
01t0B000003ADLJ,Transient module Node Locked - Paid-Up,1,Flownex Node Locked,0,,
01t0B000003ADLK,API module Node Locked - Paid-Up,1,Flownex Node Locked,0,,
01t0B000003ADLL,Nuclear module Node Locked - Paid-Up,1,Flownex Node Locked,0,,
01t0B000003ADLM,Extendibility Node Locked - Paid-Up,1,Flownex Node Locked,0,,
01t0B000003ADLN,Electrical module Node Locked - Paid-Up,1,Flownex Node Locked,0,,
01t0B000003ADLO,Control module Node Locked - Paid-Up,1,Flownex Node Locked,0,,
01t0B000003ADLP,Basic Thermal fluid module Server Site - Paid-Up,1,Flownex Server Site,0,,
01t0B000003ADLQ,Advanced fluid thermal module Server Site - Paid-Up,1,Flownex Server Site,0,,
01t0B000003ADLR,Design and analysis module Server Site - Paid-Up,1,Flownex Server Site,0,,
01t0B000003ADLS,Transient module Server Site - Paid-Up,1,Flownex Server Site,0,,
01t0B000003ADLT,API module Server Site - Paid-Up,1,Flownex Server Site,0,,
01t0B000003ADLU,Nuclear module Server Site - Paid-Up,1,Flownex Server Site,0,,
01t0B000003ADLV,Extendibility Server Site - Paid-Up,1,Flownex Server Site,0,,
01t0B000003ADLW,Electrical module Server Site - Paid-Up,1,Flownex Server Site,0,,
01t0B000003ADLX,Control module Server Site - Paid-Up,1,Flownex Server Site,0,,
01t0B000003ADLY,Basic Thermal fluid module Node Locked - Lease (1 year),1,Flownex Node Locked,0,,
01t0B000003ADLZ,Advanced fluid thermal module Node Locked - Lease (1 year),1,Flownex Node Locked,0,,
01t0B000003ADLa,Design and analysis module Node Locked - Lease (1 year),1,Flownex Node Locked,0,,
01t0B000003ADLb,Transient module Node Locked - Lease (1 year),1,Flownex Node Locked,0,,
01t0B000003ADLc,API module Node Locked - Lease (1 year),1,Flownex Node Locked,0,,
01t0B000003ADLd,Nuclear module Node Locked - Lease (1 year),1,Flownex Node Locked,0,,
01t0B000003ADLe,Extendibility Node Locked - Lease (1 year),1,Flownex Node Locked,0,,
01t0B000003ADLf,Electrical module Node Locked - Lease (1 year),1,Flownex Node Locked,0,,
01t0B000003ADLg,Control module Node Locked - Lease (1 year),1,Flownex Node Locked,0,,
01t0B000003ADLh,Basic Thermal fluid module Server Site - Lease (1 year),1,Flownex Server Site,0,,
01t0B000003ADLi,Advanced fluid thermal module Server Site - Lease (1 year),1,Flownex Server Site,0,,
01t0B000003ADLj,Design and analysis module Server Site - Lease (1 year),1,Flownex Server Site,0,,
01t0B000003ADLk,Transient module Server Site - Lease (1 year),1,Flownex Server Site,0,,
01t0B000003ADLl,API module Server Site - Lease (1 year),1,Flownex Server Site,0,,
01t0B000003ADLm,Nuclear module Server Site - Lease (1 year),1,Flownex Server Site,0,,
01t0B000003ADLn,Extendibility Server Site - Lease (1 year),1,Flownex Server Site,0,,
01t0B000003ADLo,Electrical module Server Site - Lease (1 year),1,Flownex Server Site,0,,
01t0B000003ADLp,Control module Server Site - Lease (1 year),1,Flownex Server Site,0,,
01t0B000003ADLq,Basic Thermal fluid module Node Locked - Lease (6 months),1,Flownex Node Locked,0,,
01t0B000003ADLr,Advanced fluid thermal module Node Locked - Lease (6 months),1,Flownex Node Locked,0,,
01t0B000003ADLs,Design and analysis module Node Locked - Lease (6 months),1,Flownex Node Locked,0,,
01t0B000003ADLt,Transient module Node Locked - Lease (6 months),1,Flownex Node Locked,0,,
01t0B000003ADLu,API module Node Locked - Lease (6 months),1,Flownex Node Locked,0,,
01t0B000003ADLv,Nuclear module Node Locked - Lease (6 months),1,Flownex Node Locked,0,,
01t0B000003ADLw,Extendibility Node Locked - Lease (6 months),1,Flownex Node Locked,0,,
01t0B000003ADLx,Electrical module Node Locked - Lease (6 months),1,Flownex Node Locked,0,,
01t0B000003ADLy,Control module Node Locked - Lease (6 months),1,Flownex Node Locked,0,,
01t0B000003ADLz,Basic Thermal fluid module Server Site - Lease (6 months),1,Flownex Server Site,0,,
01t0B000003ADM0,Advanced fluid thermal module Server Site - Lease (6 months),1,Flownex Server Site,0,,
01t0B000003ADM1,Design and analysis module Server Site - Lease (6 months),1,Flownex Server Site,0,,
01t0B000003ADM2,Transient module Server Site - Lease (6 months),1,Flownex Server Site,0,,
01t0B000003ADM3,API module Server Site - Lease (6 months),1,Flownex Server Site,0,,
01t0B000003ADM4,Nuclear module Server Site - Lease (6 months),1,Flownex Server Site,0,,
01t0B000003ADM5,Extendibility Server Site - Lease (6 months),1,Flownex Server Site,0,,
01t0B000003ADM6,Electrical module Server Site - Lease (6 months),1,Flownex Server Site,0,,
01t0B000003ADM7,Control module Server Site - Lease (6 months),1,Flownex Server Site,0,,
01t0B000003ADM8,Basic Thermal fluid module Node Locked - Lease (3 months),1,Flownex Node Locked,0,,
01t0B000003ADM9,Advanced fluid thermal module Node Locked - Lease (3 months),1,Flownex Node Locked,0,,
01t0B000003ADMA,Design and analysis module Node Locked - Lease (3 months),1,Flownex Node Locked,0,,
01t0B000003ADMB,Transient module Node Locked - Lease (3 months),1,Flownex Node Locked,0,,
01t0B000003ADMC,API module Node Locked - Lease (3 months),1,Flownex Node Locked,0,,
01t0B000003ADMD,Nuclear module Node Locked - Lease (3 months),1,Flownex Node Locked,0,,
01t0B000003ADME,Extendibility Node Locked - Lease (3 months),1,Flownex Node Locked,0,,
01t0B000003ADMF,Electrical module Node Locked - Lease (3 months),1,Flownex Node Locked,0,,
01t0B000003ADMG,Control module Node Locked - Lease (3 months),1,Flownex Node Locked,0,,
01t0B000003ADMH,Basic Thermal fluid module Server Site - Lease (3 months),1,Flownex Server Site,0,,
01t0B000003ADMI,Advanced fluid thermal module Server Site - Lease (3 months),1,Flownex Server Site,0,,
01t0B000003ADMJ,Design and analysis module Server Site - Lease (3 months),1,Flownex Server Site,0,,
01t0B000003ADMK,Transient module Server Site - Lease (3 months),1,Flownex Server Site,0,,
01t0B000003ADML,API module Server Site - Lease (3 months),1,Flownex Server Site,0,,
01t0B000003ADMM,Nuclear module Server Site - Lease (3 months),1,Flownex Server Site,0,,
01t0B000003ADMN,Extendibility Server Site - Lease (3 months),1,Flownex Server Site,0,,
01t0B000003ADMO,Electrical module Server Site - Lease (3 months),1,Flownex Server Site,0,,
01t0B000003ADMP,Control module Server Site - Lease (3 months),1,Flownex Server Site,0,,
01t0B000003ADMQ,Basic Thermal fluid module Node Locked - TECS,1,Flownex Node Locked,0,,
01t0B000003ADMR,Advanced fluid thermal module Node Locked - TECS,1,Flownex Node Locked,0,,
01t0B000003ADMS,Design and analysis module Node Locked - TECS,1,Flownex Node Locked,0,,
01t0B000003ADMT,Transient module Node Locked - TECS,1,Flownex Node Locked,0,,
01t0B000003ADMU,API module Node Locked - TECS,1,Flownex Node Locked,0,,
01t0B000003ADMV,Nuclear module Node Locked - TECS,1,Flownex Node Locked,0,,
01t0B000003ADMW,Extendibility Node Locked - TECS,1,Flownex Node Locked,0,,
01t0B000003ADMX,Electrical module Node Locked - TECS,1,Flownex Node Locked,0,,
01t0B000003ADMY,Control module Node Locked - TECS,1,Flownex Node Locked,0,,
01t0B000003ADMZ,Basic Thermal fluid module Server Site - TECS,1,Flownex Server Site,0,,
01t0B000003ADMa,Advanced fluid thermal module Server Site - TECS,1,Flownex Server Site,0,,
01t0B000003ADMb,Design and analysis module Server Site - TECS,1,Flownex Server Site,0,,
01t0B000003ADMc,Transient module Server Site - TECS,1,Flownex Server Site,0,,
01t0B000003ADMd,API module Server Site - TECS,1,Flownex Server Site,0,,
01t0B000003ADMe,Nuclear module Server Site - TECS,1,Flownex Server Site,0,,
01t0B000003ADMf,Extendibility Server Site - TECS,1,Flownex Server Site,0,,
01t0B000003ADMg,Electrical module Server Site - TECS,1,Flownex Server Site,0,,
01t0B000003ADMh,Control module Server Site - TECS,1,Flownex Server Site,0,,
01t0B000003AH5g,TPA Report Generator EDR Medeso - Lease,1,,0,,CPBU
01t0B000003AVC2,ANSYS Professional NLT Emag - Paid-up,1,ANSYS PRODUCTS,0,,MBU
01t0B000003AXRq,ANSYS Cloud Essentials Subscription - 12 Months - Lease,1,DISCOVERY PRODUCTS,1,CLOUD,CPBU
01t0B000003AXRr,ANSYS Cloud Essentials Subscription - 3 Months - Lease,1,DISCOVERY PRODUCTS,1,CLOUD,CPBU
01t0B000003AXRt,ANSYS Motion Premium - Lease,1,Motion,0,,MBU
01t0B000003AXRu,ANSYS Motion Premium - Paid-Up,1,Motion,0,,MBU
01t0B000003AXRv,ANSYS Motion Premium - TECS,1,Motion,0,,MBU
01t0B000003AXRw,ANSYS Motion Drivetrain - Lease,1,Motion,0,,MBU
01t0B000003AXRx,ANSYS Motion Drivetrain - Paid-Up,1,Motion,0,,MBU
01t0B000003AXRy,ANSYS Motion Drivetrain - TECS,1,Motion,0,,MBU
01t0B000003AXRz,ANSYS Motion Links - Lease,1,Motion,0,,MBU
01t0B000003AXS0,ANSYS Motion Links - Paid-Up,1,Motion,0,,MBU
01t0B000003AXS1,ANSYS Motion Links - TECS,1,Motion,0,,MBU
01t0B000003AXS2,ANSYS Motion Car - Lease,1,Motion,0,,MBU
01t0B000003AXS3,ANSYS Motion Car - Paid-Up,1,Motion,0,,MBU
01t0B000003AXS4,ANSYS Motion Car - TECS,1,Motion,0,,MBU
01t0B000003AXS5,ANSYS Motion Easy Flex - Lease,1,Motion,0,,MBU
01t0B000003AXS6,ANSYS Motion Easy Flex - Paid-Up,1,Motion,0,,MBU
01t0B000003AXS7,ANSYS Motion Easy Flex - TECS,1,Motion,0,,MBU
01t0B000003AXS8,ANSYS Motion STEP Translator - Lease,1,Motion,0,,MBU
01t0B000003AXS9,ANSYS Motion STEP Translator - Paid-Up,1,Motion,0,,MBU
01t0B000003AXSA,ANSYS Motion STEP Translator - TECS,1,Motion,0,,MBU
01t0B000003AXSB,ANSYS Motion Parasolid Translator - Lease,1,Motion,0,,MBU
01t0B000003AXSC,ANSYS Motion Parasolid Translator - Paid-Up,1,Motion,0,,MBU
01t0B000003AXSD,ANSYS Motion Parasolid Translator - TECS,1,Motion,0,,MBU
01t0B000003AXSE,ANSYS Motion CATIA Import - Lease,1,Motion,0,,MBU
01t0B000003AXSF,ANSYS Motion CATIA Import - Paid-Up,1,Motion,0,,MBU
01t0B000003AXSG,ANSYS Motion CATIA Import - TECS,1,Motion,0,,MBU
01t0B000003AXSH,ANSYS Twin Builder Pro - Lease,1,PRE & POST PROCESSING PRODUCTS,1,Systems,SBU
01t0B000003AXSI,ANSYS Twin Builder Pro - Paid-Up,1,Twin Builder,1,Systems,SBU
01t0B000003AXSJ,ANSYS Twin Builder Pro - TECS,1,Twin Builder,1,Systems,SBU
01t0B000003AXSK,ANSYS Twin Builder Fluid Power Library - Lease,1,Twin Builder,1,Systems,SBU
01t0B000003AXSL,ANSYS Twin Builder Fluid Power Library - Paid-Up,1,Twin Builder,1,Systems,SBU
01t0B000003AXSM,ANSYS Twin Builder Fluid Power Library - TECS,1,Twin Builder,1,Systems,SBU
01t0B000003AXSN,ANSYS Twin Builder Premium - Lease,1,PRE & POST PROCESSING PRODUCTS,1,Systems,SBU
01t0B000003AXSO,ANSYS Twin Builder Premium - Paid-Up,1,Twin Builder,1,Systems,SBU
01t0B000003AXSP,ANSYS Twin Builder Premium - TECS,1,Twin Builder,1,Systems,SBU
01t0B000003AXSQ,ANSYS Twin Builder Enterprise - Lease,1,Twin Builder,1,Systems,SBU
01t0B000003AXSR,ANSYS Twin Builder Enterprise - Paid-Up,1,Twin Builder,1,Systems,SBU
01t0B000003AXSS,ANSYS Twin Builder Enterprise - TECS,1,Twin Builder,1,Systems,SBU
01t0B000003AXSV,ANSYS Optical Measurement Device Pro - TECS,1,PRE & POST PROCESSING PRODUCTS,1,Optical,SBU
01t0B000003AXSX,ANSYS Optical Measurement Device Premium - TECS,1,SPEOS,1,Optical,EBU
01t0B000003AXSZ,ANSYS Optical Measurement Device Enterprise - TECS,1,SPEOS,1,Optical,EBU
01t0B000003AbMH,ANSYS GRANTA Advanced Materials - Polymers - TECS,1,GRANTA Data,1,Granta,MatBU
01t0B000003AbMI,ANSYS GRANTA Advanced Materials - Polymers - Paid-Up,1,GRANTA Data,1,Granta,MatBU
01t0B000003AbMJ,ANSYS GRANTA Advanced Materials - Polymers - Lease,1,GRANTA Data,1,Granta,MatBU
01t0B000003AbMK,ANSYS GRANTA Advanced Materials - Metals - TECS,1,GRANTA Data,1,Granta,MatBU
01t0B000003AbML,ANSYS GRANTA Advanced Materials - Metals - Paid-Up,1,GRANTA Data,1,Granta,MatBU
01t0B000003AbMM,ANSYS GRANTA Advanced Materials - Metals - Lease,1,GRANTA Data,1,Granta,MatBU
01t0B000003AbMN,ANSYS GRANTA Advanced Materials - Aero - TECS,1,GRANTA Data,1,Granta,MatBU
01t0B000003AbMO,ANSYS GRANTA Advanced Materials - Aero - Paid-Up,1,GRANTA Data,1,Granta,MatBU
01t0B000003AbMP,ANSYS GRANTA Advanced Materials - Aero - Lease,1,GRANTA Data,1,Granta,MatBU
01t0B000003AbMY,ANSYS medini analyze pro - Paid-Up,1,Medini,1,Systems,CPBU
01t0B000003AbMZ,ANSYS medini analyze pro - Lease,1,Medini,1,Systems,CPBU
01t0B000003AbMa,ANSYS SCADE Architect Configurator - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbMb,ANSYS SCADE Architect Configurator - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbMc,ANSYS SCADE Architect Configurator - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbMd,ANSYS SCADE Architect Advanced Modeler Seat - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbMe,ANSYS SCADE Architect Advanced Modeler Seat - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbMf,ANSYS SCADE Architect Advanced Modeler Seat - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbMg,ANSYS SCADE Test Target Execution - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbMh,ANSYS SCADE Test Target Execution - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbMi,ANSYS SCADE Test Target Execution - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbMj,ANSYS SCADE Test Model Coverage - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbMk,ANSYS SCADE Test Model Coverage - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbMl,ANSYS SCADE Test Model Coverage - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbMm,ANSYS SCADE Test Environment for Host - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbMn,ANSYS SCADE Test Environment for Host - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbMo,ANSYS SCADE Test Environment for Host - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbMp,ANSYS SCADE AADL Modeler Seat - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbMq,ANSYS SCADE AADL Modeler Seat - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbMr,ANSYS SCADE AADL Modeler Seat - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbMs,ANSYS SCADE Avionics Package - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbMt,ANSYS SCADE Avionics Package - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbMu,ANSYS SCADE Avionics Package - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbMv,ANSYS SCADE UA DF Generator DO-178C Level A Certification Kit - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbMw,ANSYS SCADE UA DF Generator DO-178C Level A Certification Kit - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbMx,ANSYS SCADE Host Server Creator for ARINC 661 Compliant Systems - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbMy,ANSYS SCADE Host Server Creator for ARINC 661 Compliant Systems - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbMz,ANSYS SCADE Server Creator for ARINC 661 Compliant Systems - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbN0,ANSYS SCADE Host Server Creator for ARINC 661 Compliant Systems - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbN1,ANSYS SCADE Server Creator for ARINC 661 Compliant Systems - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbN2,ANSYS SCADE Server Creator for ARINC 661 Compliant Systems - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbN3,ANSYS SCADE UA DF Generator for ARINC 661 Compliant Systems - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbN4,ANSYS SCADE Display KCG Certification Kit - High Level Criticity - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbN5,ANSYS SCADE Display KCG Certification Kit - High Level Criticity - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbN6,ANSYS SCADE Display KCG Certification Kit - Low Level Criticity - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbN7,ANSYS SCADE Display KCG Certification Kit - Low Level Criticity - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbN8,ANSYS SCADE LifeCycle Reporter - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbN9,ANSYS SCADE LifeCycle Reporter - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNA,ANSYS SCADE LifeCycle Reporter - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNB,ANSYS Certification Plans for SCADE Suite Applications levels A and B - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNH,ANSYS SCADE UA Page Creator for ARINC 661 Compliant Systems - TECS,1,,1,Systems,SBU
01t0B000003AbNI,ANSYS SCADE Widgets Library for ARINC 661 Compliant Systems - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbNJ,ANSYS SCADE Widgets Library for ARINC 661 Compliant Systems - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNK,ANSYS SCADE Widgets Library for ARINC 661 Compliant Systems - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNL,ANSYS SCADE Widget for ARINC 661 - Price per Unit - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNM,ANSYS SCADE Suite Design Verifier - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbNN,ANSYS SCADE Suite Design Verifier - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNO,ANSYS SCADE Suite Design Verifier - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNS,ANSYS SCADE Suite KCG Code Generator - C and ADA - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbNT,ANSYS SCADE Suite KCG Code Generator - C and ADA - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNU,ANSYS SCADE Suite KCG Code Generator - C and ADA - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNV,ANSYS SCADE Suite Compiler Verification Kit - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbNW,ANSYS SCADE Suite Compiler Verification Kit - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNX,ANSYS SCADE Suite Compiler Verification Kit - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNY,ANSYS SCADE Suite KCG Certification Kit - High Level Criticity - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbNZ,ANSYS SCADE Suite KCG Certification Kit - High Level Criticity - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNa,ANSYS SCADE Suite KCG Certification Kit - High Level Criticity - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNb,ANSYS SCADE Suite KCG Certification Kit - Low Level Criticity - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNc,ANSYS SCADE Suite Timing and Stack Optimizer - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbNd,ANSYS SCADE Suite Timing and Stack Optimizer - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNe,ANSYS SCADE Suite Timing and Stack Optimizer - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNf,ANSYS SCADE Suite Timing and Stack Verifier - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbNg,ANSYS SCADE Suite Timing and Stack Verifier - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNh,ANSYS SCADE Suite Timing and Stack Verifier - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNi,ANSYS SCADE Display Advanced Modeler Seat - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbNj,ANSYS SCADE Display Advanced Modeler Seat - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNk,ANSYS SCADE Display Advanced Modeler Seat - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNl,ANSYS SCADE Display KCG - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbNm,ANSYS SCADE Display KCG - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNn,ANSYS SCADE Display KCG - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNo,ANSYS SCADE Widget for ARINC 661 - Price per Unit - TECS,1,SCADE,1,Systems,SBU
01t0B000003AbNp,ANSYS SCADE UA DF Generator for ARINC 661 Compliant Systems - Paid-Up,1,SCADE,1,Systems,SBU
01t0B000003AbNq,ANSYS SCADE UA DF Generator for ARINC 661 Compliant Systems - Lease,1,SCADE,1,Systems,SBU
01t0B000003AbNr,ANSYS medini analyze pro - TECS,1,Medini,1,Systems,CPBU
01t0B000003AbNs,ANSYS medini analyze Premium - Lease,1,Medini,1,Systems,CPBU
01t0B000003AbNt,ANSYS medini analyze premium - Paid-Up,1,Medini,1,Systems,CPBU
01t0B000003AbNu,ANSYS medini analyze premium - TECS,1,Medini,1,Systems,CPBU
01t0B000003AbNv,ANSYS medini analyze enterprise - Lease,1,Medini,1,Systems,CPBU
01t0B000003AbNw,ANSYS medini analyze enterprise - Paid-Up,1,Medini,1,Systems,CPBU
01t0B000003AbNx,ANSYS medini analyze enterprise - TECS,1,Medini,1,Systems,CPBU
01t0B000003AbNy,ANSYS medini connectivity package - Lease,1,Medini,1,Systems,CPBU
01t0B000003AbNz,ANSYS medini connectivity package - Paid-Up,1,Medini,1,Systems,CPBU
01t0B000003AbO0,ANSYS medini connectivity package - TECS,1,Medini,1,Systems,CPBU
01t0B000003AbO1,ANSYS medini analyze Enterprise for Semiconductors - Lease,1,Medini,1,Systems,CPBU
01t0B000003AbO2,ANSYS medini analyze Enterprise for Semiconductors - Paid-Up,1,Medini,1,Systems,CPBU
