"Product Id","Product Name","Active (Product)","Product Family","N&ET Product","N&ET Family","Business Unit"
01t0B000003ADLG,"Basic Thermal fluid module Node Locked",1,"Flownex Node Locked",0,,
01t0B000003ADLH,"Advanced fluid thermal module Node Locked",1,"Flownex Node Locked",0,,
01t0B000003ADLI,"Design and analysis module Node Locked",1,"Flownex Node Locked",0,,
01t0B000003ADLJ,"Transient module Node Locked",1,"Flownex Node Locked",0,,
01t0B000003ADLK,"API module Node Locked",1,"Flownex Node Locked",0,,
01t0B000003ADLL,"Nuclear module Node Locked",1,"Flownex Node Locked",0,,
01t0B000003ADLM,"Extendibility Node Locked",1,"Flownex Node Locked",0,,
01t0B000003ADLN,"Electrical module Node Locked",1,"Flownex Node Locked",0,,
01t0B000003ADLO,"Control module Node Locked",1,"Flownex Node Locked",0,,
01t0B000003ADLP,"Basic Thermal fluid module Server Site",1,"Flownex Server Site",0,,
01t0B000003ADLQ,"Advanced fluid thermal module Server Site",1,"Flownex Server Site",0,,
01t0B000003ADLR,"Design and analysis module Server Site",1,"Flownex Server Site",0,,
01t0B000003ADLS,"Transient module Server Site",1,"Flownex Server Site",0,,
01t0B000003ADLT,"API module Server Site",1,"Flownex Server Site",0,,
01t0B000003ADLU,"Nuclear module Server Site",1,"Flownex Server Site",0,,
01t0B000003ADLV,"Extendibility Server Site",1,"Flownex Server Site",0,,
01t0B000003ADLW,"Electrical module Server Site",1,"Flownex Server Site",0,,
01t0B000003ADLX,"Control module Server Site",1,"Flownex Server Site",0,,
01t0B000003AH5g,"TPA Report Generator EDR Medeso",1,,0,,CPBU
01t0B000003AVC2,"ANSYS Professional NLT Emag - Paid-up",1,"ANSYS PRODUCTS",0,,MBU
01t0B000003AXRq,"ANSYS Cloud Essentials Subscription - 12 Months",1,"DISCOVERY PRODUCTS",1,CLOUD,CPBU
01t0B000003AXRr,"ANSYS Cloud Essentials Subscription - 3 Months",1,"DISCOVERY PRODUCTS",1,CLOUD,CPBU
01t0B000003AXRt,"ANSYS Motion Premium",1,Motion,0,,MBU
01t0B000003AXRw,"ANSYS Motion Drivetrain",1,Motion,0,,MBU
01t0B000003AXRz,"ANSYS Motion Links",1,Motion,0,,MBU
01t0B000003AXS2,"ANSYS Motion Car",1,Motion,0,,MBU
01t0B000003AXS5,"ANSYS Motion Easy Flex",1,Motion,0,,MBU
01t0B000003AXS8,"ANSYS Motion STEP Translator",1,Motion,0,,MBU
01t0B000003AXSB,"ANSYS Motion Parasolid Translator",1,Motion,0,,MBU
01t0B000003AXSE,"ANSYS Motion CATIA Import",1,Motion,0,,MBU
